school,x,y,level,safety,attendance,misconduct,instr,teachers,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,instr_dev,misconduct_dev
610266,-2.325908968283615,0.515843574088933,ES,19.0,92.5,38.4,49.0,48.0,11.274135038879624,Low,Mid,Low-Mid,81.98679056908071,49.0,-30.37229437229437,-0.16450216450216715,15.885281385281385
610188,0.7152491991521146,2.6649718790020107,ES,46.0,94.6,22.8,71.0,59.0,12.08358007066205,High,High,High-High,89.09453958989324,71.0,-3.3722943722943697,21.835497835497833,0.2852813852813867
610352,3.0455770399524114,2.0306101423944414,ES,61.0,95.4,0.7,58.0,74.0,5.982781779441352,High,High,High-High,98.18754319944706,58.0,11.62770562770563,8.835497835497833,-21.814718614718615
610254,-2.7033828236477615,-1.1354639127371504,ES,46.0,94.2,4.4,69.0,13.0,6.218180702475876,Low,Low,Low-Low,96.14468934797634,69.0,-3.3722943722943697,19.835497835497833,-18.114718614718612
609736,-2.327715974068801,-3.8734548896065406,HS,27.0,62.5,24.4,47.0,25.0,6.775594004097685,Low,Low,Low-Low,86.5179325704631,47.0,-22.483870967741936,2.451612903225808,8.80322580645161
610132,7.8115491240658645,-0.9351202800704197,ES,99.0,97.6,0.0,88.0,41.0,14.70134044832842,High,Low,High-Low,100.0,88.0,49.62770562770563,38.83549783549783,-22.514718614718614
609901,8.913460283534954,-1.0473123574088332,ES,99.0,96.9,3.4,53.0,70.0,9.057389750426076,High,Low,High-Low,98.6675370555257,53.0,49.62770562770563,3.835497835497833,-19.114718614718615
610523,3.838907632831284,-1.6585206597483417,ES,95.0,96.1,6.9,49.0,48.0,9.360538906353385,High,Low,High-Low,97.1392366177713,49.0,45.62770562770563,-0.16450216450216715,-15.614718614718614
609819,-4.81308457298646,-0.28725516797436934,ES,1.0,89.3,82.0,22.0,48.0,31.46428933187461,Low,Mid,Low-Mid,64.4305352891483,22.0,-48.37229437229437,-27.164502164502167,59.48528138528138
609815,-2.019242584944424,1.382711183759731,ES,33.0,92.9,28.0,50.0,58.0,7.0187725762828626,Low,High,Low-High,86.53329237385762,50.0,-16.37229437229437,0.8354978354978329,5.485281385281386
610246,0.9078065657284855,-0.8775048911630803,ES,47.0,95.0,10.3,48.0,48.0,3.1489274444083706,High,Low,High-Low,93.94823746256048,48.0,-2.3722943722943697,-1.1645021645021671,-12.214718614718613
609881,1.2908996310310277,3.606574298664999,ES,38.0,93.4,20.3,52.0,79.0,5.920869067301631,High,High,High-High,89.70125182397666,52.0,-11.37229437229437,2.835497835497833,-2.2147186147186133
609862,-0.5249507826060177,1.4359667261333662,ES,22.0,95.1,24.9,54.0,53.0,10.446595864480532,Mid,High,Mid-High,87.38576146225329,54.0,-27.37229437229437,4.835497835497833,2.3852813852813846
609909,0.4106512688063953,0.9348655242131313,ES,48.0,95.3,2.4,47.0,45.0,0.5501078551698364,Mid,High,Mid-High,97.0317179940097,47.0,-1.3722943722943697,-2.164502164502167,-20.114718614718615
610012,-2.8622486742474047,0.6634922971874087,ES,50.0,88.9,16.0,41.0,26.0,5.986953903438611,Low,Mid,Low-Mid,91.64042700253438,41.0,0.6277056277056303,-8.164502164502167,-6.514718614718614
609904,-0.23655664743146798,1.473500187377869,ES,30.0,93.3,17.4,55.0,48.0,7.474219968818395,Mid,High,Mid-High,90.50380155134016,55.0,-19.37229437229437,5.835497835497833,-5.114718614718615
610006,1.3556562354943273,0.029602229861797218,ES,77.0,95.4,12.2,49.0,54.0,9.96233973115999,High,Mid,High-Mid,94.38599185930421,49.0,27.62770562770563,-0.16450216450216715,-10.314718614718615
